window_start,window_end,fm_estimate,actual_distinct,relative_error,suspicious
5250,5350,6.851882975010019,2,2.4259414875050096,True
5300,5400,6.851882975010019,2,2.4259414875050096,True
5350,5450,27.795374332587812,3,8.265124777529271,True
5400,5500,27.795374332587812,3,8.265124777529271,True
5450,5550,6.851882975010019,2,2.4259414875050096,True
5500,5600,6.851882975010019,2,2.4259414875050096,True
5550,5650,17.19434784294967,4,3.298586960737418,True
5600,5700,17.19434784294967,4,3.298586960737418,True
5650,5750,11.376711354733615,2,4.688355677366808,True
5700,5800,11.376711354733615,2,4.688355677366808,True
5750,5850,11.376711354733615,2,4.688355677366808,True
5800,5900,11.376711354733615,2,4.688355677366808,True
5850,5950,11.376711354733615,2,4.688355677366808,True
5900,6000,10.213184057090405,1,9.213184057090405,True
5950,6050,10.213184057090405,1,9.213184057090405,True
